Model,Role,Condition,Harm,Metric,trials,mean,sd,se,ci,order1,order2,Format,Cases,Grading,Type,Label
o3-mini+llama-4-maverick,Agent2,Guardian,Mild,pct_cumulative,3,87.667,1.155,0.667,1.307,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-maverick
o3-mini+llama-4-maverick,Agent2,Guardian,Moderate,pct_cumulative,3,63.333,0.577,0.333,0.653,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-maverick
o3-mini+llama-4-maverick,Agent2,Guardian,Severe,pct_cumulative,3,23,1,0.577,1.132,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-maverick
o3-mini+llama-4-scout,Agent2,Guardian,None,pct_cumulative,3,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout
o3-mini+llama-4-scout,Agent2,Guardian,Uncertain,pct_cumulative,3,96.667,0.577,0.333,0.653,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout
o3-mini+llama-4-scout,Agent2,Guardian,Mild,pct_cumulative,3,88.667,1.528,0.882,1.729,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout
o3-mini+llama-4-scout,Agent2,Guardian,Moderate,pct_cumulative,3,63.667,1.155,0.667,1.307,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout
o3-mini+llama-4-scout,Agent2,Guardian,Severe,pct_cumulative,3,22.333,1.155,0.667,1.307,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout
o3-mini+o3-mini,Agent2,Guardian,None,pct_cumulative,3,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+o3-mini
o3-mini+o3-mini,Agent2,Guardian,Uncertain,pct_cumulative,3,96.667,1.155,0.667,1.307,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+o3-mini
o3-mini+o3-mini,Agent2,Guardian,Mild,pct_cumulative,3,87.667,1.155,0.667,1.307,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+o3-mini
o3-mini+o3-mini,Agent2,Guardian,Moderate,pct_cumulative,3,63.667,0.577,0.333,0.653,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+o3-mini
o3-mini+o3-mini,Agent2,Guardian,Severe,pct_cumulative,3,23.667,0.577,0.333,0.653,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+o3-mini
deepseek-r1+claude-3.7-sonnet,Agent2,Stewardship,None,pct_cumulative,5,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+claude-3.7-sonnet
deepseek-r1+claude-3.7-sonnet,Agent2,Stewardship,Uncertain,pct_cumulative,5,98.4,0.894,0.4,0.784,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+claude-3.7-sonnet
deepseek-r1+claude-3.7-sonnet,Agent2,Stewardship,Mild,pct_cumulative,5,78.6,1.673,0.748,1.467,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+claude-3.7-sonnet
deepseek-r1+claude-3.7-sonnet,Agent2,Stewardship,Moderate,pct_cumulative,5,50.4,2.881,1.288,2.525,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+claude-3.7-sonnet
deepseek-r1+claude-3.7-sonnet,Agent2,Stewardship,Severe,pct_cumulative,5,14,1.581,0.707,1.386,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+claude-3.7-sonnet
deepseek-r1+gemini-2.0-flash,Agent2,Stewardship,None,pct_cumulative,7,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash
deepseek-r1+gemini-2.0-flash,Agent2,Stewardship,Uncertain,pct_cumulative,7,99.429,0.535,0.202,0.396,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash
deepseek-r1+gemini-2.0-flash,Agent2,Stewardship,Mild,pct_cumulative,7,79.857,2.035,0.769,1.508,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash
deepseek-r1+gemini-2.0-flash,Agent2,Stewardship,Moderate,pct_cumulative,7,48.857,2.968,1.122,2.199,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash
deepseek-r1+gemini-2.0-flash,Agent2,Stewardship,Severe,pct_cumulative,7,9.143,1.952,0.738,1.446,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash
deepseek-r1+llama-4-maverick,Agent2,Stewardship,None,pct_cumulative,10,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-maverick
deepseek-r1+llama-4-maverick,Agent2,Stewardship,Uncertain,pct_cumulative,10,99.4,0.699,0.221,0.433,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-maverick
deepseek-r1+llama-4-maverick,Agent2,Stewardship,Mild,pct_cumulative,10,78.6,2.503,0.792,1.552,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-maverick
deepseek-r1+llama-4-maverick,Agent2,Stewardship,Moderate,pct_cumulative,10,49.7,4.111,1.3,2.548,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-maverick
deepseek-r1+llama-4-maverick,Agent2,Stewardship,Severe,pct_cumulative,10,9.6,1.955,0.618,1.212,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-maverick
gemini-2.0-flash+claude-3.7-sonnet,Agent2,Stewardship,None,pct_cumulative,9,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet
gemini-2.0-flash+claude-3.7-sonnet,Agent2,Stewardship,Uncertain,pct_cumulative,9,98.333,0.707,0.236,0.462,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet
gemini-2.0-flash+claude-3.7-sonnet,Agent2,Stewardship,Mild,pct_cumulative,9,78.556,1.81,0.603,1.183,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet
gemini-2.0-flash+claude-3.7-sonnet,Agent2,Stewardship,Moderate,pct_cumulative,9,50,3.082,1.027,2.014,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet
gemini-2.0-flash+claude-3.7-sonnet,Agent2,Stewardship,Severe,pct_cumulative,9,13.667,1.581,0.527,1.033,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet
gemini-2.0-flash+llama-4-maverick,Agent2,Stewardship,None,pct_cumulative,5,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-maverick
gemini-2.0-flash+llama-4-maverick,Agent2,Stewardship,Uncertain,pct_cumulative,5,99.6,0.548,0.245,0.48,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-maverick
gemini-2.0-flash+llama-4-maverick,Agent2,Stewardship,Mild,pct_cumulative,5,86.8,1.789,0.8,1.568,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-maverick
gemini-2.0-flash+llama-4-maverick,Agent2,Stewardship,Moderate,pct_cumulative,5,55.4,2.074,0.927,1.818,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-maverick
gemini-2.0-flash+llama-4-maverick,Agent2,Stewardship,Severe,pct_cumulative,5,11,1,0.447,0.877,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-maverick
gemini-2.0-flash+llama-4-scout,Agent2,Stewardship,None,pct_cumulative,1,100,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout
gemini-2.0-flash+llama-4-scout,Agent2,Stewardship,Uncertain,pct_cumulative,1,100,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout
gemini-2.0-flash+llama-4-scout,Agent2,Stewardship,Mild,pct_cumulative,1,87,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout
gemini-2.0-flash+llama-4-scout,Agent2,Stewardship,Moderate,pct_cumulative,1,57,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout
gemini-2.0-flash+llama-4-scout,Agent2,Stewardship,Severe,pct_cumulative,1,12,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout
gemini-2.0-flash+o3-mini,Agent2,Stewardship,None,pct_cumulative,5,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+o3-mini
gemini-2.0-flash+o3-mini,Agent2,Stewardship,Uncertain,pct_cumulative,5,99.4,0.548,0.245,0.48,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+o3-mini
gemini-2.0-flash+o3-mini,Agent2,Stewardship,Mild,pct_cumulative,5,79.6,2.074,0.927,1.818,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+o3-mini
gemini-2.0-flash+o3-mini,Agent2,Stewardship,Moderate,pct_cumulative,5,48.8,1.304,0.583,1.143,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+o3-mini
gemini-2.0-flash+o3-mini,Agent2,Stewardship,Severe,pct_cumulative,5,11.4,1.949,0.872,1.709,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+o3-mini
gemini-2.5-pro+gpt-4.1,Agent2,Stewardship,None,pct_cumulative,4,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-4.1
gemini-2.5-pro+gpt-4.1,Agent2,Stewardship,Uncertain,pct_cumulative,4,99.5,1,0.5,0.98,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-4.1
gemini-2.5-pro+gpt-4.1,Agent2,Stewardship,Mild,pct_cumulative,4,86.75,1.258,0.629,1.233,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-4.1
gemini-2.5-pro+gpt-4.1,Agent2,Stewardship,Moderate,pct_cumulative,4,62.75,1.5,0.75,1.47,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-4.1
gemini-2.5-pro+gpt-4.1,Agent2,Stewardship,Severe,pct_cumulative,4,28,1.633,0.816,1.6,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-4.1
gemini-2.5-pro+gpt-5-mini,Agent2,Stewardship,None,pct_cumulative,10,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5-mini
gemini-2.5-pro+gpt-5-mini,Agent2,Stewardship,Uncertain,pct_cumulative,10,96.3,0.949,0.3,0.588,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5-mini
gemini-2.5-pro+gpt-5-mini,Agent2,Stewardship,Mild,pct_cumulative,10,74.1,2.644,0.836,1.639,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5-mini
gemini-2.5-pro+gpt-5-mini,Agent2,Stewardship,Moderate,pct_cumulative,10,45,1.944,0.615,1.205,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5-mini
gemini-2.5-pro+gpt-5-mini,Agent2,Stewardship,Severe,pct_cumulative,10,13.4,1.43,0.452,0.886,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-5-mini
gpt-5-mini+gpt-4.1,Agent2,Stewardship,None,pct_cumulative,5,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gpt-4.1
gpt-5-mini+gpt-4.1,Agent2,Stewardship,Uncertain,pct_cumulative,5,99.4,0.894,0.4,0.784,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gpt-4.1
gpt-5-mini+gpt-4.1,Agent2,Stewardship,Mild,pct_cumulative,5,83.4,0.894,0.4,0.784,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gpt-4.1
gpt-5-mini+gpt-4.1,Agent2,Stewardship,Moderate,pct_cumulative,5,63.2,3.633,1.625,3.185,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gpt-4.1
gpt-5-mini+gpt-4.1,Agent2,Stewardship,Severe,pct_cumulative,5,24.6,1.517,0.678,1.329,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini+gpt-4.1
llama-4-maverick+claude-3.7-sonnet,Agent2,Stewardship,None,pct_cumulative,4,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+claude-3.7-sonnet
llama-4-maverick+claude-3.7-sonnet,Agent2,Stewardship,Uncertain,pct_cumulative,4,98.25,0.957,0.479,0.938,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+claude-3.7-sonnet
llama-4-maverick+claude-3.7-sonnet,Agent2,Stewardship,Mild,pct_cumulative,4,82.25,2.872,1.436,2.815,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+claude-3.7-sonnet
llama-4-maverick+claude-3.7-sonnet,Agent2,Stewardship,Moderate,pct_cumulative,4,57,3.742,1.871,3.667,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+claude-3.7-sonnet
llama-4-maverick+claude-3.7-sonnet,Agent2,Stewardship,Severe,pct_cumulative,4,15.5,0.577,0.289,0.566,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+claude-3.7-sonnet
llama-4-scout+deepseek-r1,Agent2,Stewardship,None,pct_cumulative,4,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+deepseek-r1
llama-4-scout+deepseek-r1,Agent2,Stewardship,Uncertain,pct_cumulative,4,98.5,0.577,0.289,0.566,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+deepseek-r1
llama-4-scout+deepseek-r1,Agent2,Stewardship,Mild,pct_cumulative,4,81.25,3.304,1.652,3.238,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+deepseek-r1
llama-4-scout+deepseek-r1,Agent2,Stewardship,Moderate,pct_cumulative,4,54.75,2.986,1.493,2.926,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+deepseek-r1
llama-4-scout+deepseek-r1,Agent2,Stewardship,Severe,pct_cumulative,4,16.25,0.5,0.25,0.49,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+deepseek-r1
llama-4-scout+gemini-2.5-pro,Agent2,Stewardship,None,pct_cumulative,10,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro,Agent2,Stewardship,Uncertain,pct_cumulative,10,98.9,0.994,0.314,0.616,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro,Agent2,Stewardship,Mild,pct_cumulative,10,77.6,3.239,1.024,2.007,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro,Agent2,Stewardship,Moderate,pct_cumulative,10,43,2.357,0.745,1.461,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro,Agent2,Stewardship,Severe,pct_cumulative,10,8.9,1.524,0.482,0.945,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro
o3-mini+claude-3.7-sonnet,Agent2,Stewardship,None,pct_cumulative,2,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+claude-3.7-sonnet
o3-mini+claude-3.7-sonnet,Agent2,Stewardship,Uncertain,pct_cumulative,2,94.5,0.707,0.5,0.98,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+claude-3.7-sonnet
o3-mini+claude-3.7-sonnet,Agent2,Stewardship,Mild,pct_cumulative,2,80,1.414,1,1.96,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+claude-3.7-sonnet
o3-mini+claude-3.7-sonnet,Agent2,Stewardship,Moderate,pct_cumulative,2,53.5,0.707,0.5,0.98,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+claude-3.7-sonnet
o3-mini+claude-3.7-sonnet,Agent2,Stewardship,Severe,pct_cumulative,2,16,1.414,1,1.96,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+claude-3.7-sonnet
claude-3.7-sonnet+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,None,pct_cumulative,2,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gemini-2.5-pro+gpt-5
claude-3.7-sonnet+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,Uncertain,pct_cumulative,2,97,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gemini-2.5-pro+gpt-5
claude-3.7-sonnet+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,Mild,pct_cumulative,2,72.5,2.121,1.5,2.94,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gemini-2.5-pro+gpt-5
claude-3.7-sonnet+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,Moderate,pct_cumulative,2,45,1.414,1,1.96,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gemini-2.5-pro+gpt-5
claude-3.7-sonnet+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,Severe,pct_cumulative,2,9,1.414,1,1.96,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+gemini-2.5-pro+gpt-5
claude-3.7-sonnet+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,None,pct_cumulative,1,100,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+llama-4-scout+gemini-2.5-pro
claude-3.7-sonnet+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,Uncertain,pct_cumulative,1,100,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+llama-4-scout+gemini-2.5-pro
claude-3.7-sonnet+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,Mild,pct_cumulative,1,80,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+llama-4-scout+gemini-2.5-pro
claude-3.7-sonnet+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,Moderate,pct_cumulative,1,44,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+llama-4-scout+gemini-2.5-pro
claude-3.7-sonnet+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,Severe,pct_cumulative,1,13,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet+llama-4-scout+gemini-2.5-pro
deepseek-r1+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Guardian,None,pct_cumulative,9,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash+claude-3.7-sonnet
deepseek-r1+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Guardian,Uncertain,pct_cumulative,9,99.444,0.882,0.294,0.576,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash+claude-3.7-sonnet
deepseek-r1+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Guardian,Mild,pct_cumulative,9,78.111,2.934,0.978,1.917,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash+claude-3.7-sonnet
deepseek-r1+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Guardian,Moderate,pct_cumulative,9,44.667,4.301,1.434,2.81,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash+claude-3.7-sonnet
deepseek-r1+gemini-2.0-flash+claude-3.7-sonnet,Agent3,Guardian+Guardian,Severe,pct_cumulative,9,8.667,1.803,0.601,1.178,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash+claude-3.7-sonnet
deepseek-r1+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,None,pct_cumulative,1,100,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.5-pro+gpt-5
deepseek-r1+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,Uncertain,pct_cumulative,1,99,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.5-pro+gpt-5
deepseek-r1+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,Mild,pct_cumulative,1,74,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.5-pro+gpt-5
deepseek-r1+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,Moderate,pct_cumulative,1,42,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.5-pro+gpt-5
deepseek-r1+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,Severe,pct_cumulative,1,8,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.5-pro+gpt-5
deepseek-r1+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,None,pct_cumulative,1,100,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-scout+gemini-2.5-pro
deepseek-r1+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,Uncertain,pct_cumulative,1,100,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-scout+gemini-2.5-pro
deepseek-r1+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,Mild,pct_cumulative,1,74,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-scout+gemini-2.5-pro
deepseek-r1+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,Moderate,pct_cumulative,1,42,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-scout+gemini-2.5-pro
deepseek-r1+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,Severe,pct_cumulative,1,9,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-scout+gemini-2.5-pro
gemini-2.0-flash+claude-3.7-sonnet+gemini-2.5-pro,Agent3,Guardian+Guardian,None,pct_cumulative,2,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+gemini-2.5-pro
gemini-2.0-flash+claude-3.7-sonnet+gemini-2.5-pro,Agent3,Guardian+Guardian,Uncertain,pct_cumulative,2,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+gemini-2.5-pro
gemini-2.0-flash+claude-3.7-sonnet+gemini-2.5-pro,Agent3,Guardian+Guardian,Mild,pct_cumulative,2,77,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+gemini-2.5-pro
gemini-2.0-flash+claude-3.7-sonnet+gemini-2.5-pro,Agent3,Guardian+Guardian,Moderate,pct_cumulative,2,43,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+gemini-2.5-pro
gemini-2.0-flash+claude-3.7-sonnet+gemini-2.5-pro,Agent3,Guardian+Guardian,Severe,pct_cumulative,2,8.5,2.121,1.5,2.94,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+gemini-2.5-pro
gemini-2.0-flash+claude-3.7-sonnet+gpt-5,Agent3,Guardian+Guardian,None,pct_cumulative,2,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+gpt-5
gemini-2.0-flash+claude-3.7-sonnet+gpt-5,Agent3,Guardian+Guardian,Uncertain,pct_cumulative,2,96.5,2.121,1.5,2.94,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+gpt-5
gemini-2.0-flash+claude-3.7-sonnet+gpt-5,Agent3,Guardian+Guardian,Mild,pct_cumulative,2,68.5,3.536,2.5,4.9,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+gpt-5
gemini-2.0-flash+claude-3.7-sonnet+gpt-5,Agent3,Guardian+Guardian,Moderate,pct_cumulative,2,40.5,3.536,2.5,4.9,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+gpt-5
gemini-2.0-flash+claude-3.7-sonnet+gpt-5,Agent3,Guardian+Guardian,Severe,pct_cumulative,2,10.5,0.707,0.5,0.98,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet+gpt-5
gemini-2.0-flash+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,None,pct_cumulative,10,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gemini-2.5-pro+gpt-5
gemini-2.0-flash+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,Uncertain,pct_cumulative,10,98.1,1.595,0.504,0.989,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gemini-2.5-pro+gpt-5
gemini-2.0-flash+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,Mild,pct_cumulative,10,75.1,2.424,0.767,1.503,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gemini-2.5-pro+gpt-5
gemini-2.0-flash+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,Moderate,pct_cumulative,10,42.7,2.669,0.844,1.654,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gemini-2.5-pro+gpt-5
gemini-2.0-flash+gemini-2.5-pro+gpt-5,Agent3,Guardian+Guardian,Severe,pct_cumulative,10,10.1,1.663,0.526,1.031,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+gemini-2.5-pro+gpt-5
gemini-2.0-flash+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,None,pct_cumulative,2,100,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout+gemini-2.5-pro
gemini-2.0-flash+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,Uncertain,pct_cumulative,2,99.5,0.707,0.5,0.98,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout+gemini-2.5-pro
gemini-2.0-flash+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,Mild,pct_cumulative,2,80,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout+gemini-2.5-pro
gemini-2.0-flash+llama-4-scout+gemini-2.5-pro,Agent3,Guardian+Guardian,Moderate,pct_cumulative,2,45.5,0.707,0.5,0.98,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout+gemini-2.5-pro
